2025-03-23 10:40:56,845 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/83800200004-rose-magnetic | Время: 7.3 сек.
2025-03-23 10:41:04,128 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000196050-champagne-e-bacche-di-rosa | Время: 7.28 сек.
2025-03-23 10:41:12,438 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000203077-cedre | Время: 8.31 сек.
2025-03-23 10:41:19,616 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000214428-gold-hair-perfume | Время: 7.18 сек.
2025-03-23 10:41:26,766 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000201883-raffaello | Время: 7.15 сек.
2025-03-23 10:41:34,007 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000148363-fig-infusion | Время: 7.24 сек.
2025-03-23 10:41:42,304 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000004553-black-pepper-amber-neroli | Время: 8.3 сек.
2025-03-23 10:41:49,506 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000321542-incenso-imperiale | Время: 7.2 сек.
2025-03-23 10:41:57,653 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000026986-fleur-de-coton | Время: 8.15 сек.
2025-03-23 10:42:04,980 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/83810100004-shaman | Время: 7.33 сек.
2025-03-23 10:42:12,277 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000156531-verona | Время: 7.3 сек.
2025-03-23 10:42:19,450 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000125894-my-mantra | Время: 7.17 сек.
2025-03-23 10:42:26,784 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000182852-all-seasons-white-rhino | Время: 7.33 сек.
2025-03-23 10:42:33,960 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/24863500001-212vip-black | Время: 7.18 сек.
2025-03-23 10:42:41,456 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000244574-astronomy-domine | Время: 7.5 сек.
2025-03-23 10:42:48,533 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000117831-aqua-mysteri | Время: 7.08 сек.
2025-03-23 10:42:55,393 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000012429-study-23 | Время: 6.86 сек.
2025-03-23 10:43:03,234 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000238659-spontaneous-generosity | Время: 7.84 сек.
2025-03-23 10:43:11,853 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/19000358610-daisy-wild | Время: 8.62 сек.
2025-03-23 10:43:18,989 – src.scraper – INFO: ✅ Успешно: https://goldapple.ru/83800100001-orange-x-santal | Время: 7.14 сек.
